doi,column,status,source_location,paper_note
https://doi.org/10.1126/science.ads4760,First Author,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Last Author,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Year,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,DOI,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Journal,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Species,checked_metadata,"Published Science supplement science.ads4760_sm.pdf, pp. 2-4, animals/recordings.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Detection,checked_code,"Published Science supplement science.ads4760_sm.pdf, pp. 6-8, Replay detection; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), do_combine_linear_track_replay_events.m.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Detection Notes,reviewed_context,"Published Science supplement science.ads4760_sm.pdf, pp. 5-8 and Fig. S2 pp. 16-17; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m, load_replayEvents_cm.m:55-61/101-104, Open_Field/do_combine_open_field_replay_events.m:40/77, compute_allSequences_NaNseparated_merge.m. Generic 100 ms duration is overridden by 50 ms; text/code spatial merging and cell-selection differences remain.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,MUA Z-score Thresh. (STD),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,SWR Z-score Thresh. (STD),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Animal Speed (cm/s),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,MUA smooth (ms),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,SWR smooth (ms),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Min. Cells (#),checked_paper,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: >=10 cells for track Bayes and rank-order replay; no corresponding arena minimum.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,SWR electrodes (#),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,SWR Low Band (Hz),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,SWR High Band (Hz),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Min. Duration (ms),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 7: arena duration >50 ms; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_replay_criterion.m:22 (track), load_replayEvents_cm.m:60/104 and Open_Field/do_combine_open_field_replay_events.m:40/77 (arena >=50 ms); overrides generic 100 ms default.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Max Duration (ms),not_applicable,"Published Science supplement science.ads4760_sm.pdf, pp. 6-8 (no maximum stated); paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m has no maximum candidate duration.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Combine Events Thresh. (ms),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 7: decoded arena subsequence gaps <50 ms and <20 cm; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_replayEvents_cm.m:57/59/101 uses <50 ms and 0.2*maze_size cm. Candidate peak separation 70 ms is a distinct rule.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Decoding,checked_paper,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: Bayesian primary analysis and independent rank-order control.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Time bin (ms),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 6: track 20 ms, arena 80 ms; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_binDecoding_cm.m.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Position bin (cm),checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Place fields: 2 cm track bins and 2x2 cm arena bins.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Place field smooth (cm),derived,"Published Science supplement science.ads4760_sm.pdf, p. 5: SD 2 cm track / 8 cm arena; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_AnalysisInformation_cm.m, load_clusters_rate_maps_cm.m, compute_rateMap.m and setUp_gaussFilt.m imply nominal 2 cm per track filtering pass / 4 cm arena SD.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Trajectory,checked_paper,"Published Science supplement science.ads4760_sm.pdf, pp. 6-8: track weighted correlation, arena posterior COM; code first-coordinate jump differs from text Euclidean jump.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Decoding notes,reviewed_context,"Published Science supplement science.ads4760_sm.pdf, pp. 5-8; published main text p. 541 (errors 2.9/3.4 cm); paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), compute_rateMap.m, setUp_gaussFilt.m and compute_filtering_binDecoding_cm.m:15.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Reconst. Error (cm),checked_paper,"Published Science main text p. 541: mean positional error 2.9 cm track, 3.4 cm arena; supplement p. 6 gives the 400 ms evaluation window.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,% Decoded,not_reported,"Published Science supplement science.ads4760_sm.pdf, pp. 5-8.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Spike sorting,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Freely Moving Neural Data Acquisition.",papers/00_Mallory_2025.md
https://doi.org/10.1126/science.ads4760,Time bin step (ms),checked_code,"paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_AnalysisInformation_cm.m and load_binDecoding_cm.m establish 5 ms steps; supplement p. 6 says overlapping by 5 ms.",papers/00_Mallory_2025.md
