row,doi,column,value,status,source_location,paper_note
0,https://doi.org/10.1126/science.ads4760,First Author,Mallory,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Last Author,Foster,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Year,2025,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,DOI,https://doi.org/10.1126/science.ads4760,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Journal,Science,checked_metadata,Published Science main text p. 541; supplement cover p. 1.,papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Species,Rats,checked_metadata,"Published Science supplement science.ads4760_sm.pdf, pp. 2-4, animals/recordings.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Detection,"MUA, Decoding",checked_code,"Published Science supplement science.ads4760_sm.pdf, pp. 6-8, Replay detection; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), do_combine_linear_track_replay_events.m.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Detection Notes,"Published supplement pp. 5-8 distinguishes linear-track spike-density candidates from open-field decoding. SDE and secondary SWR peaks exceed 3 SD after Gaussian SD 12.5 ms smoothing; speed <5 cm/s, boundaries at the mean. Track replay requires >66% posterior in one directional map, weighted correlation >0.6, jump <40% of track, coverage >20% and >=10 cells. Fig. S2 controls use SWR candidates, correlation >0.7, or Spearman p<0.05. Arena subsequences merge across gaps <20 cm and <50 ms; final duration >50 ms. Released code merges candidate peaks within 70 ms without candidate duration limits. Its replay extraction and arena combination use 50 ms, overriding the generic 100 ms default; combination accepts duration >=50 ms. Code arena spatial merging uses 0.2*maze_size cm rather than fixed 20 cm. No SDE/SWR overlap is required for primary arena replay. Published spike density includes all cells; released code selects excitatory cells.",reviewed_context,"Published Science supplement science.ads4760_sm.pdf, pp. 5-8 and Fig. S2 pp. 16-17; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m, load_replayEvents_cm.m:55-61/101-104, Open_Field/do_combine_open_field_replay_events.m:40/77, compute_allSequences_NaNseparated_merge.m. Generic 100 ms duration is overridden by 50 ms; text/code spatial merging and cell-selection differences remain.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,MUA Z-score Thresh. (STD),3,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,SWR Z-score Thresh. (STD),3,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Animal Speed (cm/s),5,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,MUA smooth (ms),12.5,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,SWR smooth (ms),12.5,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Min. Cells (#),10,checked_paper,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: >=10 cells for track Bayes and rank-order replay; no corresponding arena minimum.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,SWR electrodes (#),1,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,SWR Low Band (Hz),150,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,SWR High Band (Hz),250,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Min. Duration (ms),50,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 7: arena duration >50 ms; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_replay_criterion.m:22 (track), load_replayEvents_cm.m:60/104 and Open_Field/do_combine_open_field_replay_events.m:40/77 (arena >=50 ms); overrides generic 100 ms default.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Max Duration (ms),#N/A,not_applicable,"Published Science supplement science.ads4760_sm.pdf, pp. 6-8 (no maximum stated); paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m has no maximum candidate duration.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Combine Events Thresh. (ms),50,checked_paper,"Published Science supplement science.ads4760_sm.pdf, p. 7: decoded arena subsequence gaps <50 ms and <20 cm; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_replayEvents_cm.m:57/59/101 uses <50 ms and 0.2*maze_size cm. Candidate peak separation 70 ms is a distinct rule.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Decoding,Bayes; rank-order correlation (track control),checked_paper,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: Bayesian primary analysis and independent rank-order control.",papers/00_Mallory_2025.md
