row,paper,trigger,n_events,recall,false_positives
0,Mallory 2025,MUA,16,1.0,0
1,Widloski 2025,secondary ripple label,11,0.6875,0
2,Yang 2024,SWR+MUA,7,0.4375,0
3,Huelin Gorriz 2023,SWR+MUA,15,0.9375,0
4,Harvey 2023 (code),SWR,11,0.6875,0
4,Harvey 2023 (text),SWR (needs radiatum),16,1.0,0
5,Liu 2023,SWR+MUA (needs radiatum),11,0.6875,0
6,Tirole 2022,SWR+MUA,15,0.9375,0
7,Bush 2022,MUA,17,1.0,1
8,Berners-Lee 2022,MUA,14,0.875,0
10,Krause 2022,SWR,16,1.0,0
11,Mou 2022,MUA,16,1.0,0
12,Berners-Lee 2021,SWR,16,1.0,0
13,Denovellis 2021,SWR,16,1.0,0
14,Gillespie 2021,SWR,16,1.0,0
15,Michon 2021,SWR+MUA,11,0.6875,0
16,Igata 2021 (candidates),SWR+MUA,16,1.0,0
17,Gridchyn 2020,adaptive MUA triggers,37,0.9375,22
18,Kaefer 2020,secondary SWR label,15,0.9375,0
19,Bhattarai 2020,SWR+MUA,15,0.9375,0
20,Stella 2019,SWR,16,1.0,0
21,Xu 2019,MUA,16,1.0,0
22,Farooq 2019 (Neuron),MUA,5,0.3125,0
23,Farooq 2019 (Science),MUA,4,0.25,0
24,Chenani 2019,MUA,15,0.9375,0
25,Michon 2019,SWR+MUA,11,0.6875,0
26,Liu 2019,MUA,94,1.0,78
27,Shin 2019,SWR,16,1.0,0
28,Carey 2019,SWR+MUA,21,1.0,2
29,Muessig 2019,SWR+MUA,2,0.125,0
30,Drieu 2018,MUA,18,1.0,2
31,Maboudi 2018,MUA,16,1.0,0
32,Olafsdottir 2017,MUA,24,1.0,8
33,Wu 2017,MUA,16,1.0,0
34,Yamamoto 2017 (one reading),SWR+MUA,9,0.5625,0
35,Tang 2017,SWR,16,1.0,0
36,Grosmark 2016,SWR+MUA,7,0.4375,0
37,Ambrose 2016,SWR,16,1.0,0
38,Jadhav 2016,SWR,16,1.0,0
39,Olafsdottir 2016,MUA,16,0.9375,1
40,Silva 2015,MUA,16,1.0,0
41,Olafsdottir 2015,MUA,82,1.0,53
42,Pfeiffer 2015,SWR,16,1.0,0
43,Wu 2014,MUA,30,1.0,13
44,Wikenheiser 2013,SWR,54,0.9375,38
45,Pfeiffer 2013,MUA,16,1.0,0
46,Carr 2012,SWR,16,1.0,0
47,Bendor 2012,MUA,16,1.0,0
48,Gupta 2010,SWR gate only,98,0.8125,84
49,Karlsson 2009,SWR,16,1.0,0
50,Davidson 2009,MUA,16,1.0,0
51,Diba 2007,MUA,7,0.4375,0
52,Ji 2007,MUA,16,1.0,0
53,Foster 2006,MUA,9,0.5625,0
54,Lee 2002,MUA,205,1.0,189
55,Nadasdy 1999,SWR,16,1.0,0
56,Kudrimoti 1999,SWR,12,0.75,0
