condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,1.5,4,1.0,0,Kay_ripple_detector,0.025966916990000755,41,,0.275,0.2926829268292683,13.703732160678328,-9.860131428055752,,
ripples,1.5,4,1.0,0,Karlsson_ripple_detector,0.04130762501154095,9,,0.125,0.5555555555555556,-1.6370956009126303,-15.139011876762254,,
ripples,1.5,4,1.0,0,Roumis_ripple_detector,0.031519917014520615,42,,0.25,0.2619047619047619,14.399209613706887,-9.35307836903121,,
ripples,1.5,4,1.0,0,Shvartsman_ripple_detector,0.04222687502624467,0,,0.0,,,,,
ripples,1.5,4,1.0,0,Yu_ripple_detector,0.04877975000999868,29,,0.225,0.3103448275862069,15.03706549401329,-9.193464761395376,,
ripples,1.5,4,1.0,0,Zugaro_ripple_detector,0.009320791985373944,28,,0.25,0.35714285714285715,18.139137986664444,-26.489129911382747,,
ripples,1.5,4,1.0,0,Long_sharp_wave_ripple_detector,0.1630911669926718,14,,0.3,0.8571428571428571,5.66325813828783,-5.955393232163431,,
ripples,1.5,4,1.0,0,Carey_candidate_detector,0.1521175000234507,39,,0.975,1.0,-5.908303466021891,7.3884337785585785,,
ripples,1.5,4,1.0,0,multiunit_HSE_detector,0.07098625000799075,47,,1.0,0.851063829787234,-13.312060427637107,15.852842799802147,,
ripples,1.5,4,1.0,1,Kay_ripple_detector,0.023935792036354542,46,,0.225,0.1956521739130435,18.093954074821283,-20.227994560443108,,
ripples,1.5,4,1.0,1,Karlsson_ripple_detector,0.04229329200461507,5,,0.0,0.0,,,,
ripples,1.5,4,1.0,1,Roumis_ripple_detector,0.03263158298796043,48,,0.2,0.16666666666666666,14.700420455108443,-6.318802300484094,,
ripples,1.5,4,1.0,1,Shvartsman_ripple_detector,0.04151754203485325,0,,0.0,,,,,
ripples,1.5,4,1.0,1,Yu_ripple_detector,0.047973915992770344,34,,0.15,0.17647058823529413,14.367087121770261,11.481606441002157,,
ripples,1.5,4,1.0,1,Zugaro_ripple_detector,0.009942332981154323,23,,0.125,0.21739130434782608,14.895289146622304,-12.409610040521102,,
