First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Mallory,Foster,2025,https://doi.org/10.1126/science.ads4760,Science,Rats,Decoding,">66% of the posterior probability located in one of the directional maps, weighted correlation >0.6, max. jump distance<40% of the track, spatial coverage > 20% of the track",#N/A,#N/A,5,#N/A,#N/A,10,#N/A,#N/A,#N/A,50,#N/A,50,Bayes,80,2,#N/A,Posterior center of mass,,"2.9 (track), 3.4 (arena)",#N/A,Sorted,5,"none (criteria-based: weighted correlation, coverage, posterior difference, jump)",#N/A,#N/A,#N/A,#N/A
Widloski,Foster,2025,https://doi.org/10.1038/s41467-025-65181-5,Nature Communications,Rats,Decoding,"Decoded replay with no ripple or burst requirement
candidate = continuous epoch >=100 ms of smoothly changing decoded position
merged if gap <20 cm and <50 ms; kept if duration >100 ms and dispersion >12 cm
ripples (2 SD, >=15 ms) and bursts (3 SD, >=50 ms) label events after detection",#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,50,Bayes,80,#N/A,#N/A,Posterior center of mass,Memory-less Bayesian decoding with a uniform prior,#N/A,#N/A,Sorted,5,Place cell-ID shuffle,100,p<0.05,#N/A,#N/A
Yang,Buzsáki,2024,https://doi.org/10.1126/science.adk8261,Science,"Rats, Mice","SWR, MUA","MUA and SWR
MUA with at least one LFP w/ SWR
during NREM (manually scored)",3,3,#N/A,15,#N/A,5,1,150,250,50,500,#N/A,"UMAP
Bayes",20,5,10,KNN,,Not reported,Not reported,Sorted,20,Cell-ID circular shuffle; time-bin shuffle,#N/A,#N/A,#N/A,#N/A
Huelin Gorriz,Bendor,2023,https://doi.org/10.1038/s41467-023-43939-z,Nature Communications,Rats,"SWR, MUA",MUA and SWR,3,3,5,5,100,5,#N/A,125,300,100,750,50,Bayes,20,10,0,Weighted correlation,,Not reported,Not reported,Sorted,20,Spike-train circular shift; place-field shift; per-bin circular shift of position,#N/A,95th percentile (all three),#N/A,#N/A
Harvey,Fernandez-Ruiz,2023,https://doi.org/10.1016/j.neuron.2023.04.015,Neuron,Rats,SWR,"SWR
Ripple with a simultaneous
sharp wave from radiatum
events with 50%> empty time bins removed",#N/A,4,4,#N/A,#N/A,5,1,80,250,15,400,#N/A,Bayes,20,3,3,Weighted correlation,,Not reported,Not reported,Sorted,20,Per-bin circular shift of the posterior,1000,p<0.05,#N/A,#N/A
Liu,Fernandez-Ruiz,2023,https://doi.org/10.1126/science.adi8237,Science,Rats,"SWR, MUA","MUA and SWR
k-means clustering of ripple power
sharp wave detected from radiatum",2,Adaptive,4,10,#N/A,#N/A,1,80,250,100,500,#N/A,Bayes,20,3,3,Radon transform,,Not reported,Not reported,Sorted,20,Per-bin random spatial shift of the reconstruction matrix; cell-ID shuffle,500,95th percentile,#N/A,#N/A
Tirole,Bendor,2022,https://doi.org/10.7554/eLife.79031,eLife,Rats,"SWR, MUA",MUA,3,3,5,5,100,5,1,125,300,100,750,50,Bayes,20,10,0,Weighted correlation,,Not reported,Not reported,Sorted,20,Spike-train circular shift; place-field shift; per-bin circular shift of position,1000,95th percentile (all three),#N/A,#N/A
Bush,Burgess,2022,https://doi.org/10.1016/j.cub.2021.10.033,Current Biology,Rats,MUA,"MUA or SWR
median speed used for immobility,
event start time is considered first spike",3,3,10,5,5,5,1,150,250,40,500,40,Bayes,10,2,10,Radon transform,,"outbound (13.7cm)
inbound (12.8cm)",13.9%,Sorted,10,Cell-ID shuffle,100,95th percentile,candidate events,500
Berners-Lee,Foster,2022,https://doi.org/10.1016/j.neuron.2022.03.010,Neuron,Rats,MUA,MUA,3,#N/A,5,10,#N/A,#N/A,#N/A,#N/A,#N/A,100,500,#N/A,Bayes,20,2.5,5,"Weighted correlation, Radon transform",,Not reported,Not reported,Sorted,20,Time-bin shuffle,5000,p<0.05,#N/A,#N/A
Widloski,Foster,2022,https://doi.org/10.1016/j.neuron.2022.02.002,Neuron,Rats,Decoding,Decoded all immobility,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,50,Bayes,80,2,8,Posterior center of mass,"demarcate events based on
posterior spread < 10 cm
posterior jump size < 20 cm",Not reported,Not reported,Sorted,5,none (posterior spread and jump thresholds),#N/A,#N/A,#N/A,#N/A
